country;date;value;Name
Chile (inc); 1994;0,0804;P90vsP10
Chile (inc); 1996;0,08644;P90vsP10
Chile (inc); 1998;0,08177;P90vsP10
Chile (inc); 2000;0,08595;P90vsP10
Chile (inc); 2003;0,09051;P90vsP10
Chile (inc); 2006;0,10872;P90vsP10
Chile (inc); 2009;0,10323;P90vsP10
Chile (inc); 2011;0,11475;P90vsP10
Chile (inc); 2013;0,12083;P90vsP10
Chile (inc); 2015;0,11069;P90vsP10
China (Rural) (cons); 1990;0,25836;P90vsP10
China (Rural) (cons); 1993;0,24355;P90vsP10
China (Rural) (cons); 1996;0,23507;P90vsP10
China (Rural) (cons); 1999;0,22032;P90vsP10
China (Rural) (cons); 2002;0,19962;P90vsP10
China (Rural) (cons); 2005;0,20849;P90vsP10
China (Rural) (cons); 2008;0,18307;P90vsP10
China (Rural) (cons); 2010;0,17889;P90vsP10
China (Rural) (cons); 2011;0,18654;P90vsP10
China (Rural) (cons); 2012;0,17936;P90vsP10
China (Rural) (cons); 2013;0,21994;P90vsP10
China (Rural) (cons); 2014;0,21872;P90vsP10
China (Rural) (cons); 2015;0,22668;P90vsP10
China (Rural) (inc); 1981;0,31105;P90vsP10
China (Rural) (inc); 1984;0,29184;P90vsP10
China (Rural) (inc); 1987;0,25125;P90vsP10
China (Urban) (cons); 1990;0,30512;P90vsP10
China (Urban) (cons); 1993;0,27154;P90vsP10
China (Urban) (cons); 1996;0,26845;P90vsP10
China (Urban) (cons); 1999;0,2369;P90vsP10
China (Urban) (cons); 2002;0,21623;P90vsP10
China (Urban) (cons); 2005;0,20279;P90vsP10
China (Urban) (cons); 2008;0,2035;P90vsP10
China (Urban) (cons); 2010;0,20181;P90vsP10
China (Urban) (cons); 2011;0,20488;P90vsP10
China (Urban) (cons); 2012;0,20541;P90vsP10
China (Urban) (cons); 2013;0,18732;P90vsP10
China (Urban) (cons); 2014;0,18379;P90vsP10
China (Urban) (cons); 2015;0,18907;P90vsP10
China (Urban) (inc); 1981;0,41949;P90vsP10
China (Urban) (inc); 1984;0,43918;P90vsP10
